CNN,PRIMARY_ST,CROSS_ST,Type,DIRECT,DAY,DATE,DAY_OF_WEEK,DAY_OF_MONTH,Month,Year,ROADWAY_CLASS,DATA_SOURCE,VOLUME_ADT,VOLUME_AM,VOLUME_PM,85_PERCENTILE,AVG_SPEED,AUTO_APPROACH_VOL_E_AM,AUTO_APPROACH_VOL_W_AM,AUTO_APPROACH_VOL_N_AM,AUTO_APPROACH_VOL_S_AM,AUTO_DEPART_VOL_E_AM,AUTO_DEPART_VOL_W_AM,AUTO_DEPART_VOL_N_AM,AUTP_DEPART_VOL_S_AM,BIKE_APPROACH_VOL_E_AM,BIKE_APPROACH_VOL_W_AM,BIKE_APPROACH_VOL_N_AM,BIKE_APPROACH_VOL_S_AM,BIKE_DEPART_VOL_E_AM,BIKE_DEPART_VOL_W_AM,BIKE_DEPART_VOL_N_AM,BIKE_DEPART_VOL_S_AM,PED_VOL_EAST_AM,PED_VOL_WEST_AM,PED_VOL_NORTH_AM,PED_VOL_SOUTH_AM,AUTO_APPROACH_VOL_E_PM,AUTO_APPROACH_VOL_W_PM,AUTO_APPROACH_VOL_N_PM,AUTO_APPROACH_VOL_S_PM,AUTO_DEPART_VOL_E_PM,AUTO_DEPART_VOL_W_PM,AUTO_DEPART_VOL_N_PM,AUTP_DEPART_VOL_S_PM,BIKE_APPROACH_VOL_E_PM,BIKE_APPROACH_VOL_W_PM,BIKE_APPROACH_VOL_N_PM,BIKE_APPROACH_VOL_S_PM,BIKE_DEPART_VOL_E_PM,BIKE_DEPART_VOL_W_PM,BIKE_DEPART_VOL_N_PM,BIKE_DEPART_VOL_S_PM,PED_VOL_EAST_PM,PED_VOL_WEST_PM,PED_VOL_NORTH_PM,PED_VOL_SOUTH_PM,AUTO_APPROACH_VOL_E_MID,AUTO_APPROACH_VOL_W_MID,AUTO_APPROACH_VOL_N_MID,AUTO_APPROACH_VOL_S_MID,AUTO_DEPART_VOL_E_MID,AUTO_DEPART_VOL_W_MID,AUTO_DEPART_VOL_N_MID,AUTP_DEPART_VOL_S_MID,BIKE_APPROACH_VOL_E_MID,BIKE_APPROACH_VOL_W_MID,BIKE_APPROACH_VOL_N_MID,BIKE_APPROACH_VOL_S_MID,BIKE_DEPART_VOL_E_MID,BIKE_DEPART_VOL_W_MID,BIKE_DEPART_VOL_N_MID,BIKE_DEPART_VOL_S_MID,PED_VOL_EAST_MID,PED_VOL_WEST_MID,PED_VOL_NORTH_MID,PED_VOL_SOUTH_MID,AUTO_APPROACH_VOL_E_WKD_AM,AUTO_APPROACH_VOL_W_WKD_AM,AUTO_APPROACH_VOL_N_WKD_AM,AUTO_APPROACH_VOL_S_WKD_AM,AUTO_DEPART_VOL_E_WKD_AM,AUTO_DEPART_VOL_W_WKD_AM,AUTO_DEPART_VOL_N_WKD_AM,AUTP_DEPART_VOL_S_WKD_AM,BIKE_APPROACH_VOL_E_WKD_AM,BIKE_APPROACH_VOL_W_WKD_AM,BIKE_APPROACH_VOL_N_WKD_AM,BIKE_APPROACH_VOL_S_WKD_AM,BIKE_DEPART_VOL_E_WKD_AM,BIKE_DEPART_VOL_W_WKD_AM,BIKE_DEPART_VOL_N_WKD_AM,BIKE_DEPART_VOL_S_WKD_AM,PED_VOL_EAST_WKD_AM,PED_VOL_WEST_WKD_AM,PED_VOL_NORTH_WKD_AM,PED_VOL_SOUTH_WKD_AM,AUTO_APPROACH_VOL_E_WKD_PM,AUTO_APPROACH_VOL_W_WKD_PM,AUTO_APPROACH_VOL_N_WKD_PM,AUTO_APPROACH_VOL_S_WKD_PM,AUTO_DEPART_VOL_E_WKD_PM,AUTO_DEPART_VOL_W_WKD_PM,AUTO_DEPART_VOL_N_WKD_PM,AUTP_DEPART_VOL_S_WKD_PM,BIKE_APPROACH_VOL_E_WKD_PM,BIKE_APPROACH_VOL_W_WKD_PM,BIKE_APPROACH_VOL_N_WKD_PM,BIKE_APPROACH_VOL_S_WKD_PM,BIKE_DEPART_VOL_E_WKD_PM,BIKE_DEPART_VOL_W_WKD_PM,BIKE_DEPART_VOL_N_WKD_PM,BIKE_DEPART_VOL_S_WKD_PM,PED_VOL_EAST_WKD_PM,PED_VOL_WEST_WKD_PM,PED_VOL_NORTH_WKD_PM,PED_VOL_SOUTH_WKD_PM,AUTO_APPROACH_VOL_E_PM_BALLGAME,AUTO_APPROACH_VOL_W_PM_BALLGAME,AUTO_APPROACH_VOL_N_PM_BALLGAME,AUTO_APPROACH_VOL_S_PM_BALLGAME,AUTO_DEPART_VOL_E_PM_BALLGAME,AUTO_DEPART_VOL_W_PM_BALLGAME,AUTO_DEPART_VOL_N_PM_BALLGAME,AUTP_DEPART_VOL_S_PM_BALLGAME
23551000,23RD ST,3RD ST,INTERSECTION,,2,1/20/2014,MONDAY,20,1,2014,,,,,,,,39,88,325,792,70,75,787,312,,,,,,,,,,,,,80,65,634,714,78,68,726,621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23549000,23RD ST,ILLINOIS ST,INTERSECTION,,2,1/20/2014,MONDAY,20,1,2014,,,,,,,,15,72,102,246,57,29,240,109,,,,,,,,,,,,,47,43,160,168,25,65,186,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23541000,25TH ST,3RD ST,INTERSECTION,,2,1/20/2014,MONDAY,20,1,2014,,,,,,,,59,137,291,833,61,129,788,342,,,,,,,,,,,,,75,100,605,740,20,151,705,644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23548000,25TH ST,ILLINOIS ST,INTERSECTION,,2,1/20/2014,MONDAY,20,1,2014,,,,,,,,18,56,83,260,33,60,251,73,,,,,,,,,,,,,40,42,140,155,13,83,158,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23952000,25TH ST,PENNSYLVANIA ST,INTERSECTION,,2,1/20/2014,MONDAY,20,1,2014,,,,,,,,143,176,566,385,173,129,313,655,,,,,,,,,,,,,296,160,791,265,162,105,241,1004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23609000,25TH ST/INDIANA ST,I-280 NB ON RAMP,INTERSECTION,,2,1/20/2014,MONDAY,20,1,2014,,,,,,,,127,199,222,0,201,176,171,0,,,,,,,,,,,,,327,186,0,310,163,456,204,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23831000,BRYANT ST,3RD ST,INTERSECTION,,2,1/20/2014,MONDAY,20,1,2014,,,,,,,,0,1847,0,1696,980,0,2563,0,,,,,,,,,,,,,0,1143,0,1977,1010,0,2110,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23535000,CESAR CHAVEZ ST,3RD ST,INTERSECTION,,2,1/20/2014,MONDAY,20,1,2014,,,,,,,,121,858,338,801,381,325,873,539,,,,,,,,,,,,,224,500,624,731,168,505,736,670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3RD ST,INTERSECTION,,2,1/20/2014,MONDAY,20,1,2014,,,,,,,,3,75,305,934,98,31,905,283,,,,,,,,,,,,,96,69,179,806,42,43,842,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24513000,HARRISON ST,3RD ST,INTERSECTION,,2,1/20/2014,MONDAY,20,1,2014,,,,,,,,1252,0,0,2143,144,1267,1984,0,,,,,,,,,,,,,1740,0,0,1173,213,1948,1752,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23819000,I-280 RAMP/KING ST,5TH ST,INTERSECTION,,2,1/20/2014,MONDAY,20,1,2014,,,,,,,,843,1774,0,121,1691,954,0,93,,,,,,,,,,,,,1226,1711,0,94,1581,1312,0,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23890000,I-280 RAMPS/BRANNAN ST,6TH ST,INTERSECTION,,2,1/20/2014,MONDAY,20,1,2014,,,,,,,,610,511,1131,2250,1239,395,1414,1454,,,,,,,,,,,,,1128,720,1512,1936,915,529,1357,2495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52242000,I-280 SB OFF RAMP,PENNSYLVANIA ST,INTERSECTION,,2,1/20/2014,MONDAY,20,1,2014,,,,,,,,380,0,262,308,0,0,382,568,,,,,,,,,,,,,515,0,329,253,0,0,302,795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52242000,I-280 SB ON RAMP,PENNSYLVANIA ST,INTERSECTION,,2,1/20/2014,MONDAY,20,1,2014,,,,,,,,0,0,661,613,569,0,387,318,,,,,,,,,,,,,0,0,1012,919,0,1130,269,532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23799000,KING ST,3RD ST,INTERSECTION,,2,1/20/2014,MONDAY,20,1,2014,,,,,,,,1061,1534,0,1305,1196,764,1586,354,,,,,,,,,,,,,1052,1616,0,1256,987,939,1856,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23798000,KING ST,4TH ST,INTERSECTION,,2,1/20/2014,MONDAY,20,1,2014,,,,,,,,825,1433,610,82,1433,970,160,387,,,,,,,,,,,,,950,1697,585,126,1616,1213,230,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23572000,MARIPOSA ST,3RD ST,INTERSECTION,,2,1/20/2014,MONDAY,20,1,2014,,,,,,,,68,644,319,940,381,203,1125,262,,,,,,,,,,,,,232,240,592,816,120,474,885,401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52248000,MARIPOSA ST,I-280 NB OFF RAMP,INTERSECTION,,2,1/20/2014,MONDAY,20,1,2014,,,,,,,,261,125,0,1661,927,1120,0,0,,,,,,,,,,,,,639,84,0,662,264,1121,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52249000,MARIPOSA ST,I-280 SB ON RAMP,INTERSECTION,,2,1/20/2014,MONDAY,20,1,2014,,,,,,,,1117,475,0,0,125,1002,465,0,,,,,,,,,,,,,1113,682,0,0,86,628,0,1081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23574000,MARIPOSA ST,ILLINOIS ST,INTERSECTION,,2,1/20/2014,MONDAY,20,1,2014,,,,,,,,69,376,61,224,453,63,96,118,,,,,,,,,,,,,212,93,105,253,162,242,136,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23579000,MISSION ROCK,3RD ST,INTERSECTION,,2,1/20/2014,MONDAY,20,1,2014,,,,,,,,42,33,279,938,45,19,953,275,,,,,,,,,,,,,38,16,209,821,23,17,832,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23785000,MISSISSIPPI ST/16TH ST,7TH ST,INTERSECTION,,2,1/20/2014,MONDAY,20,1,2014,,,,,,,,371,489,254,538,599,283,574,196,,,,,,,,,,,,,668,411,241,438,395,426,666,271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30021000,TERRY A. FRANCOIS BLVD,3RD ST,INTERSECTION,,2,1/20/2014,MONDAY,20,1,2014,,,,,,,,262,0,407,916,105,0,1172,308,,,,,,,,,,,,,154,0,158,976,36,0,1118,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33065000,CESAR CHAVEZ ST,I-280 NB OFF RAMP,INTERSECTION,,3,1/21/2014,TUESDAY,21,1,2014,,,,,,,,318,654,289,1049,1057,648,605,0,,,,,,,,,,,,,573,789,539,730,827,897,907,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24490000,BRYANT ST,2ND ST,INTERSECTION,,4,2/19/2014,WEDNESDAY,19,2,2014,,STANTEC CONSULTING SERVICES,,,,,,,,,,,,,,,,,,,,,,,,,,0,1373,464,596,876,0,1060,497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24522000,FOLSOM ST,1ST ST,INTERSECTION,,4,2/19/2014,WEDNESDAY,19,2,2014,,STANTEC CONSULTING SERVICES,,,,,,,,,,,,,,,,,,,,,,,,,,0,874,1288,0,796,0,0,1366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24498000,FOLSOM ST,FREMONT ST,INTERSECTION,,4,2/19/2014,WEDNESDAY,19,2,2014,,STANTEC CONSULTING SERVICES,,,,,,,,,,,,,,,,,,,,,,,,,,20,824,401,60,772,0,292,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24494000,HARRISON ST,1ST ST,INTERSECTION,,4,2/19/2014,WEDNESDAY,19,2,2014,,STANTEC CONSULTING SERVICES,,,,,,696,148,1444,42,214,927,0,1189,,,,,,,,,,,,,1010,33,1421,28,82,1814,0,596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24510000,HARRISON ST,2ND ST,INTERSECTION,,4,2/19/2014,WEDNESDAY,19,2,2014,,STANTEC CONSULTING SERVICES,,,,,,,,,,,,,,,,,,,,,,,,,,798,206,777,982,937,933,377,516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23604000,HARRISON ST,EMBARCADERO,INTERSECTION,,4,2/19/2014,WEDNESDAY,19,2,2014,,STANTEC CONSULTING SERVICES,,,,,,,,,,,,,,,,,,,,,,,,,,0,351,1608,1381,0,296,1518,1526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30018000,HARRISON ST,ESSEX ST,INTERSECTION,,4,2/19/2014,WEDNESDAY,19,2,2014,,STANTEC CONSULTING SERVICES,,,,,,,,,,,,,,,,,,,,,,,,,,693,835,791,0,71,697,0,1551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24509000,HARRISON ST,FREMONT ST,INTERSECTION,,4,2/19/2014,WEDNESDAY,19,2,2014,,STANTEC CONSULTING SERVICES,,,,,,,,,,,,,,,,,,,,,,,,,,758,88,206,409,229,1011,221,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33027000,13TH ST/DUBOCE AVE ,MISSION ST/OTIS ST,INTERSECTION,,4,3/12/2014,WEDNESDAY,12,3,2014,,AECOM,,,,,,2023,920,1174,863,1811,1113,1617,439,,,,,,,,,,,,,2033,485,1444,538,1240,1533,1101,626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24448000,FELL ST,VAN NESS AVE,INTERSECTION,,4,3/12/2014,WEDNESDAY,12,3,2014,,AECOM,,,,,,,,,,,,,,,,,,,,,,,,,,0,683,1731,1840,754,110,1849,1541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24459000,GROVE ST,VAN NESS AVE,INTERSECTION,,4,3/12/2014,WEDNESDAY,12,3,2014,,AECOM,,,,,,,,,,,,,,,,,,,,,,,,,,294,273,1610,1677,317,417,1536,1584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24451000,HAYES ST,FRANKLIN ST,INTERSECTION,,4,3/12/2014,WEDNESDAY,12,3,2014,,AECOM,,,,,,,,,,,,,,,,,,,,,,,,,,1502,56,0,1333,89,607,2195,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
